#KEY,G1,G3,FDR,AveExpr,P value,G1_01_HT_2,G1_02_HT_2,G1_03_HT_2,G3_01_HT_2,G3_02_HT_2,G3_03_HT_2,G1_01_HT_2 CPM,G1_02_HT_2 CPM,G1_03_HT_2 CPM,G3_01_HT_2 CPM,G3_02_HT_2 CPM,G3_03_HT_2 CPM
plexA,0,1.2546020995768,1.06474668406725e-27,15.3897976652361,1.29847156593567e-29,436,437,451,968,1093,1082,27829.195,28515.498,28201.601,60869.018,66451.848,68873.329
Thd1,0,-2.0456616650407,2.90726995563743e-22,13.2661487474962,7.090902330823e-24,328,314,311,86,71,72,20935.725,20489.396,19447.224,5407.785,4316.634,4583.068
ci,0,1.87909470711777,1.94690250480083e-19,13.2691532762532,7.12281404195427e-21,65,88,94,303,291,301,4148.848,5742.251,5877.939,19053.009,17692.121,19159.771
Sox102F,0,-1.05407705341548,1.31305167587697e-9,13.7399722989229,6.40513012622914e-11,265,365,318,147,141,160,16914.534,23817.292,19884.942,9243.539,8572.471,10184.596
CG2177,0,0.931311832454693,1.55979613236502e-9,14.1005007681183,1.14131424319392e-10,240,145,234,435,374,346,15318.823,9461.664,14632.316,27353.330,22738.327,22024.188
CG9935,0,0.894853235393827,1.55979613236502e-9,14.269055604914,9.73634602742248e-11,225,221,243,404,426,445,14361.397,14420.881,15195.098,25404.012,25899.805,28325.907
ATPsyn-beta,0,-0.891941822094523,2.2998160704954e-7,13.7400193026295,1.96325762115461e-8,293,293,301,116,185,184,18701.730,19119.086,18821.911,7294.221,11247.568,11712.285
Slip1,0,1.40242252384096,0.0000308720137699632,11.6797368018494,0.00000301190378243543,29,34,32,75,82,95,1851.024,2218.597,2001.001,4716.091,4985.409,6047.104
CG11148,0,-0.874394544136475,0.0000319692729707792,13.144373001494,0.0000035088226431343,179,226,182,106,109,100,11425.289,14747.145,11380.690,6665.409,6626.946,6365.372
myoglianin,0,0.457362516986544,0.003682081126573,14.3994844794389,0.000449034283728415,253,340,293,398,417,381,16148.593,22185.971,18321.661,25026.725,25352.626,24252.069
yellow-h,0,1.0583547931545,0.00468472941169747,11.4627617590039,0.000628439311325271,31,27,34,70,54,69,1978.681,1761.827,2126.063,4401.685,3283.074,4392.107
dpr7,0,-0.541632692082494,0.00477131530907806,13.6209211255586,0.00069824126474313,233,245,245,144,165,187,14872.024,15986.949,15320.160,9054.895,10031.615,11903.246
CG11076,0,-0.657256338714985,0.00761396481195345,12.7977324514621,0.00120709198238286,137,146,142,112,74,85,8744.495,9526.917,8879.440,7042.696,4499.027,5410.567
unc-13,0,-0.838012110745749,0.00903333745654779,11.8327524809776,0.00154227712672767,78,71,82,35,41,54,4978.617,4632.953,5127.564,2200.843,2492.704,3437.301
CG2052,0,-0.612026032823549,0.0155304382958356,12.7481053710902,0.00284093383460408,153,112,142,62,133,81,9765.750,7308.320,8879.440,3898.635,8086.089,5155.952
PMCA,0,-0.312015153568518,0.0374631760226536,14.6996705630951,0.00730988800442022,454,456,503,329,383,424,28978.107,29755.302,31453.227,20687.921,23285.506,26989.179
mGluRA,0,-1.044952750605,0.0491426615666333,10.7097709706089,0.0101881127638142,31,28,62,21,27,10,1978.681,1827.080,3876.938,1320.506,1641.537,636.537
Rad23,0,0.517299152615745,0.135340994506634,12.1370558845434,0.0303416270351187,64,50,65,68,97,92,4085.019,3262.643,4064.532,4275.923,5897.374,5856.143
eIF4G,0,0.379167956134005,0.135340994506634,13.2025480922769,0.0313594987271468,133,116,145,185,176,149,8489.181,7569.331,9067.034,11633.025,10700.389,9484.405
CG41130,0,-0.504904525498484,0.158544039985607,12.038115817047,0.0386692780452699,81,84,73,64,61,43,5170.103,5481.240,4564.782,4024.398,3708.658,2737.110
CG11155,0,0.283284502859036,0.250162615126664,13.7662587552018,0.0640660355812188,178,198,228,229,268,231,11361.460,12920.065,14257.129,14399.799,16293.774,14704.010
CG11360,0,-0.386864739604656,0.309524575861276,12.4053443737533,0.0830431788896105,97,86,113,105,70,56,6191.358,5611.746,7066.033,6602.528,4255.837,3564.609
lgs,0,0.507018688940942,0.401119303413626,11.2407191015434,0.1125090729087,40,24,33,33,57,49,2553.137,1566.069,2063.532,2075.080,3465.467,3119.032
CG11077,0,0.52899094393892,0.443413900604848,10.9621429608428,0.139642556007193,28,27,23,54,32,30,1787.196,1761.827,1438.219,3395.586,1945.525,1909.612
CG31997,0,0.632314741810891,0.443413900604848,10.5047524476634,0.140594651411293,20,12,24,35,20,32,1276.569,783.034,1500.750,2200.843,1215.953,2036.919
MED26,0,0.225684780130639,0.443413900604848,13.7592307687198,0.139997805028005,193,190,229,263,242,207,12318.887,12398.042,14319.660,16537.760,14713.035,13176.321
CG32006,0,0.317645659157941,0.454264819532631,12.4770465769971,0.149575001553427,80,78,84,112,93,96,5106.274,5089.723,5252.626,7042.696,5654.183,6110.757
CG1674,0,0.266378475541098,0.488240154399912,12.9274582762197,0.166716150282897,78,145,127,138,124,140,4978.617,9461.664,7941.471,8677.608,7538.911,8911.521
NfI,0,-0.258441839525975,0.512589935081242,12.9218168576617,0.18128180630922,141,138,125,108,128,100,8999.809,9004.894,7816.408,6791.171,7782.101,6365.372
CG11152,0,-0.416898424952972,0.541864393900562,11.198321207807,0.19824307093923,35,37,60,37,34,25,2233.995,2414.356,3751.876,2326.605,2067.121,1591.343
Eph,0,0.167818946343486,0.544127592679109,14.227907314974,0.218978177541593,297,305,262,402,293,279,18957.043,19902.121,16383.192,25278.249,17813.716,17759.389
RpS3A,0,0.189497307618009,0.544127592679109,13.7703551802154,0.213872612291626,188,218,218,238,218,250,11999.745,14225.122,13631.816,14965.730,13253.891,15913.431
ey,0,-0.176918439769882,0.544127592679109,14.0981996981693,0.213595104913541,312,290,286,217,290,279,19914.470,18923.328,17883.942,13645.224,17631.323,17759.389
CG32016,0,-0.114783569440144,0.598207170111862,15.0786162913879,0.248037119314674,576,524,619,527,575,476,36765.175,34192.496,38706.853,33138.402,34958.658,30299.173
Actbeta,0,-0.545129781278094,0.610431960981493,10.1589663666574,0.261346372149841,24,24,17,29,6,17,1531.882,1566.069,1063.032,1823.555,364.786,1082.113
mav,0,0.180070349323591,0.610431960981493,13.4755022290845,0.267994519455289,189,142,181,203,201,171,12063.573,9265.905,11318.159,12764.887,12220.331,10884.787
CG2219,0,0.217545414564814,0.636560887003821,12.7590395575555,0.287228692916358,123,77,110,103,124,128,7850.897,5024.470,6878.439,6476.765,7538.911,8147.677
Asator,0,-0.212704694642467,0.686701317469957,12.3817386278615,0.343350658734978,98,105,73,65,122,59,6255.186,6851.550,4564.782,4087.279,7417.315,3755.570
CG11231,0,0.221143415520649,0.686701317469957,12.4425615217888,0.319587281077068,74,88,83,106,90,88,4723.304,5742.251,5190.095,6665.409,5471.790,5601.528
CG33521,0,-0.150832222592403,0.686701317469957,13.6435637680964,0.334492386640444,246,168,235,205,169,203,15701.794,10962.480,14694.847,12890.650,10274.805,12921.706
pan,0,-0.0916303944710002,0.686701317469957,15.1594324315612,0.339647903688723,572,570,661,524,554,603,36509.861,37194.127,41333.167,32949.758,33681.907,38383.195
CG1970,0,0.211706766176553,0.720556092229042,12.1001047059383,0.372115242303367,62,83,52,73,78,71,3957.363,5415.987,3251.626,4590.329,4742.218,4519.414
CaMKII,0,-0.0953452765555305,0.720556092229042,14.8244027818193,0.386639854366803,430,494,509,474,411,444,27446.225,32234.910,31828.414,29805.697,24987.840,28262.253
Syt7,0,0.0871609060279788,0.720556092229042,15.0492333372364,0.385914499783551,544,527,497,575,540,539,34722.665,34388.254,31078.039,36156.700,32830.739,34309.357
Caps,0,-0.121921864914661,0.729872634183805,13.9434519332083,0.408560754406405,284,260,240,198,322,211,18127.274,16965.742,15007.504,12450.481,19576.848,13430.936
Rfabg,0,-0.171950696665354,0.729872634183805,12.7034925495358,0.409440746005549,119,98,120,82,110,107,7595.583,6394.780,7503.752,5156.260,6687.743,6810.948
CG32017,0,-0.172272470102664,0.736748614702515,12.6035298447817,0.422282742573393,113,69,145,84,104,90,7212.612,4502.447,9067.034,5282.022,6322.957,5728.835
RhoGAP102A,0,0.160933340182018,0.783583215115466,12.556515339694,0.458682857628566,107,67,101,95,90,118,6829.642,4371.941,6315.658,5973.716,5471.790,7511.139
Kif3C,0,-0.134742242585435,0.794705389987593,12.9699339072863,0.474884928163318,109,144,151,125,125,111,6957.299,9396.411,9442.221,7860.152,7599.708,7065.563
CG1909,0,-0.123786429828639,0.816645236784843,12.9153490394409,0.520243417562069,130,141,113,112,91,155,8297.696,9200.653,7066.033,7042.696,5532.588,9866.327
