#KEY	G3_01_HT_2	G3_02_HT_2	G3_03_HT_2	G1_01_HT_2	G1_02_HT_2	G1_03_HT_2
ATPsyn-beta	116	185	184	293	293	301
Actbeta	29	6	17	24	24	17
Ank	267	294	307	287	313	310
Arf102F	71	60	52	63	52	66
Asator	65	122	59	98	105	73
CG11076	112	74	85	137	146	142
CG11077	54	32	30	28	27	23
CG11093	48	32	41	33	73	35
CG11148	106	109	100	179	226	182
CG11152	37	34	25	35	37	60
CG11155	229	268	231	178	198	228
CG11231	106	90	88	74	88	83
CG11360	105	70	56	97	86	113
CG1674	138	124	140	78	145	127
CG1732	196	196	167	179	205	182
CG17471	68	86	67	102	59	65
CG1909	112	91	155	130	141	113
CG1970	73	78	71	62	83	52
CG2052	62	133	81	153	112	142
CG2177	435	374	346	240	145	234
CG2219	103	124	128	123	77	110
CG2316	435	412	375	452	373	462
CG31997	35	20	32	20	12	24
CG31998	43	20	40	35	44	36
CG31999	52	90	71	73	94	69
CG32000	510	599	590	576	593	511
CG32006	112	93	96	80	78	84
CG32016	527	575	476	576	524	619
CG32017	84	104	90	113	69	145
CG32021	98	109	86	117	98	88
CG32850	49	30	42	31	35	46
CG33521	205	169	203	246	168	235
CG33797	112	96	83	113	77	88
CG33978	106	100	85	77	74	124
CG41130	64	61	43	81	84	73
CG9935	404	426	445	225	221	243
CR32009	0	0	0	0	0	0
CR32010	0	0	0	0	0	0
CR32011	0	1	0	1	1	0
CaMKI	370	388	305	360	321	389
CaMKII	474	411	444	430	494	509
Caps	198	322	211	284	260	240
Crk	273	208	218	210	287	209
Dyrk3	255	300	277	266	238	305
Eph	402	293	279	297	305	262
Ephrin	384	365	347	416	383	294
Hcf	243	292	254	326	222	241
JYalpha	0	0	0	0	0	0
Kif3C	125	125	111	109	144	151
MED26	263	242	207	193	190	229
Mitf	175	190	132	186	157	169
NfI	108	128	100	141	138	125
PMCA	329	383	424	454	456	503
Pur-alpha	212	175	178	200	180	215
Rad23	68	97	92	64	50	65
Rfabg	82	110	107	119	98	120
RhoGAP102A	95	90	118	107	67	101
RpS3A	238	218	250	188	218	218
Slip1	75	82	95	29	34	32
Sox102F	147	141	160	265	365	318
Syt7	575	540	539	544	527	497
Thd1	86	71	72	328	314	311
Zyx102EF	499	617	475	509	528	515
bip2	130	78	135	122	112	115
bt	298	282	297	318	300	307
cals	129	139	98	130	124	142
ci	303	291	301	65	88	94
dpr7	144	165	187	233	245	245
eIF4G	185	176	149	133	116	145
ey	217	290	279	312	290	286
gw	519	644	567	549	607	656
lgs	33	57	49	40	24	33
mGluRA	21	27	10	31	28	62
mav	203	201	171	189	142	181
myoglianin	398	417	381	253	340	293
onecut	10	18	15	24	9	14
pan	524	554	603	572	570	661
pho	80	51	69	78	85	51
plexA	968	1093	1082	436	437	451
plexB	31	44	36	40	31	34
pncr013:4	0	0	0	0	0	0
sphinx	0	0	0	0	0	0
sv	481	461	481	491	453	479
toy	33	52	53	54	30	68
unc-13	35	41	54	78	71	82
yellow-h	70	54	69	31	27	34
zfh2	47	38	42	54	40	36
